ID,Latitude,Longitude,State,Franchisee
1005,42.575,-83.128927,Michigan,Aaron Dolkowski
1008,42.455853,-83.346415,Michigan,Amer T. Asmar
1010,42.468774,-83.456935,Michigan,Amer T. Asmar
1012,42.205578,-83.180831,Michigan,Aaron Dolkowski
1014,42.4059,-83.3348,Michigan,Aaron Dolkowski
1015,42.590145,-82.951383,Michigan,Aaron Dolkowski
1016,42.423138,-83.761781,Michigan,Aaron Dolkowski
1022,42.325881,-83.337809,Michigan,Aaron Dolkowski
1025,42.283439,-83.270511,Michigan,Aaron Dolkowski
1028,42.361946,-83.066836,Michigan,Aaron Dolkowski
1031,42.626303,-83.023984,Michigan,Aaron Dolkowski
1034,42.4395,-82.9079,Michigan,Amer T. Asmar
1035,42.402495,-83.052896,Michigan,Lamine Seck
1036,42.4232,-82.9854,Michigan,Lamine Seck
1040,42.3077,-83.4765,Michigan,Amer T. Asmar
1041,42.395657,-83.443344,Michigan,Amer T. Asmar
1043,42.972028,-85.913662,Michigan,Michael Wells
1046,42.6822,-83.1329,Michigan,Aaron Dolkowski
1050,42.278787,-83.38543,Michigan,Aaron Dolkowski
1051,42.447492,-85.671863,Michigan,Eric Arntson
1054,42.650376,-83.494255,Michigan,Thomas D. Redies
1059,42.329356,-83.046318,Michigan,Amer T. Asmar
1065,42.806327,-83.625009,Michigan,Thomas D. Redies
1068,42.50705,-83.318417,Michigan,Amer T. Asmar
1070,43.020961,-83.51656,Michigan,Thomas D. Redies
1071,42.23345,-84.403764,Michigan,Amer T. Asmar
1074,42.80723,-83.707131,Michigan,Thomas D. Redies
1077,42.535053,-83.078967,Michigan,Jason Dally
1078,42.500058,-83.222601,Michigan,Jason Dally
1079,42.670131,-83.233325,Michigan,Amer T. Asmar
1081,42.444381,-83.651475,Michigan,Aaron Dolkowski
1085,42.369254,-83.315445,Michigan,Aaron Dolkowski
1090,42.312956,-83.123051,Michigan,Amer T. Asmar
1092,42.198747,-83.221789,Michigan,Aaron Dolkowski
1093,42.140543,-83.209347,Michigan,Aaron Dolkowski
1094,42.530718,-83.780911,Michigan,Amer T. Asmar
1097,42.924151,-83.624369,Michigan,Thomas D. Redies
1098,43.001646,-84.558826,Michigan,Eric Arntson
1100,42.302482,-83.709537,Michigan,David L. Cesarini
1101,42.246,-83.6278,Michigan,Thomas D. Redies
1102,42.28842,-83.843774,Michigan,David L. Cesarini
1107,42.1702,-83.7742,Michigan,Thomas D. Redies
1108,42.2169,-83.5678,Michigan,Paul A Young
1109,42.253448,-83.752221,Michigan,David L. Cesarini
1110,42.3464,-83.3855,Michigan,Aaron Dolkowski
1114,41.8892,-84.0561,Michigan,Sally A. Watson
1117,42.2504,-83.6631,Michigan,Thomas D. Redies
1118,42.270216,-83.740224,Michigan,David L. Cesarini
1119,42.731432,-84.469433,Michigan,David L. Cesarini
1128,42.628337,-83.874683,Michigan,Amer T. Asmar
1132,42.553333,-82.959639,Michigan,Amer T. Asmar
1133,42.906391,-85.607732,Michigan,Eric Arntson
1134,42.675732,-82.749792,Michigan,Amer T. Asmar
1136,42.644963,-82.89768,Michigan,Amer T. Asmar
1138,42.944678,-85.667528,Michigan,Eric Arntson
1139,42.479543,-82.964529,Michigan,Jason Dally
1140,42.497674,-82.897715,Michigan,Jason Dally
